Package_name,Reviewer_name,Review,Rating
Norton Genie,Hannah Matte,It do any for me,3
Norton Genie,Amanda “Nici” Baggett,"I literally have not been able to get this app to work properly even one time!! And today, it has errored 3x in a row and i cant get it to analyze a screenshot of a potential spam sms i received, i even tried copy and pasting the text of the sms message and it errored and would not provide ANY input!! Fyi, my app is fully updated, as is my device.",1
Norton Genie,Jereh Saingeu,it is very good,5
Norton Genie,Shane Babcock,excellent app,5
Norton Genie,Ann,you are always on the ball and feel so much easier with regards to spams. Ann north wales.,5
Norton Genie,Kunal Bhati,kunal dhati,4
Norton Genie,Akash Bhai,aakash,5
Norton Genie,Onyaso the Man,nice scumer detection ever met on playstore,5
Norton Genie,Jill Hooker,hacked bad have been for years and there stealing money and paying for apps like. this is phone number 7 apps travis rodifer,5
Norton Genie,Fritzner Chery,since I found the Norton genie I kept it as my protocol to give explanation and I will never let it go it's disguise as Norton genie but I recognize what is it it's green lantern came from a galaxy far away from the planet earth green lantern can never return any more it's my property last detail,5
Norton Genie,Samsar Ali,Samsar Ali hhgg,5
Norton Genie,Gudu Gorh,Umm thank you,5
Norton Genie,Vaseekaran vaseekaran Vaseekaranvaseekaran,S. SUDHAKAR,5
Norton Genie,Priya Priya,display finger lag ja,1
Norton Genie,Khadka Khadka,krishna khadka,5
Norton Genie,M.naveen,ijvj,5
Norton Genie,Jose Fernando Correa Madrid,it's works fine,5
Norton Genie,Yo Evans,I was curious and it confirmed the risk level.,5
Norton Genie,Sasha,"This is a very good app to have. Too many text messages seem like real issues, but could be scams. This app is reassuring to have it recommend to delete & report the sus text.",5
Norton Genie,Jeramy Wood,This is on the spot,4
Norton Genie,BYRON VYRONOS SERAPHIM OF LIGHT ARCHANGEL,This is a scam AI,1
Norton Genie,Advocate A k rana,okey,5
Norton Genie,Mark Crawford,This is a great tool to have if you receive any questionable emails or texts. My advice is to download immediately because the holiday season is here.,5
Norton Genie,Sérgio Samad (EnkI),amazingly easy to use and it's very useful,5
Norton Genie,Bholu Gohil,Bholn Gohil,5
Norton Genie,oog boog,fantastic!,5
